xenobiotics_metabolism	oxidative_stress	xenobiotics_transporter
AADAC	AATF	ABCA3
ABCA1	ABCB7	ABCB1
ABCB1	ABCD1	ABCB11
ABCB11	ABCD2	ABCC2
ABCC1	ACP5	ATP7B
ABCC2	ADCY10	MIR1-1
ABCC3	ATG5	MIR129-1
ABCC4	BCL2	MIR133A1
ABCC5	BCR	MIR133B
ACAA1	BECN1	MIR185
ACER2	BNIP3	MIR186
ACSL1	BRCA1	MIR326
ACSM1	CFLAR	MIR34B
ACSM2B	COA8	MIR451A
ADA	CRYAB	MIR495
ADIPOQ	CTNS	MIR508
ADSS1	FYN	MIR873
AHR	G6PD	MIR9-1
AIM2	H19	OSCP1
AIP	HDAC6	PDZK1
AKR1C1	HIF1A	RALBP1
ALDH3A1	HK2	SLC15A2
ANKRD1	HP	SLC17A3
AOC2	INS	SLC22A18
AOX1	MIR181A2	SLC22A5
AS3MT	MIR21	SLC47A1
ASIC2	MIR590	SLC47A2
BCHE	MIR675	ABCA10
BPHL	MMP3	ABCA12
BRAF	MPV17L	ABCA2
CAD	MT3	ABCA4
CBR1	PAGE4	ABCA5
CBR3	PARK7	ABCA6
CD69	PAX2	ABCA7
CERS1	PINK1	ABCA8
CES2	PLIN5	ABCA9
CES3	PON3	ABCB10
CMBL	PPARA	ABCB4
CRHBP	PRKN	ABCB5
CRKL	RHOA	ABCB6
CRYZ	SIRT2	ABCB7
CXCR4	SIRT3	ABCB8
CYB5B	SIRT5	ABCB9
CYP1A1	SLC18A2	ABCC1
CYP1A2	TFAP2A	ABCC10
CYP1B1	TIGAR	ABCC11
CYP26A1	TP53	ABCC3
CYP26B1	TRAP1	ABCC4
CYP2A13	VDAC1	ABCC5
CYP2A6	ABL1	ABCC6
CYP2A7	ADPRS	ABCC9
CYP2B6	AGAP3	ABCD1
CYP2C18	AIFM1	ABCD2
CYP2C19	AKT1	ABCD3
CYP2C8	ANKZF1	ABCF1
CYP2C9	ANXA1	ABCG1
CYP2D6	APOA4	ABCG4
CYP2D7	AQP1	ABCG5
CYP2E1	ATM	ABCG8
CYP2F1	ATP7A	APOA1
CYP2J2	AXL	CFTR
CYP2R1	BMP7	DERL1
CYP2S1	BTK	DERL2
CYP2U1	CAMKK2	DERL3
CYP2W1	CAT	EIF2S1
CYP3A4	CBX8	EIF2S2
CYP3A5	CCS	EIF2S3
CYP3A7	CD36	ERLEC1
CYP46A1	CDK1	ERLIN1
CYP4F12	CHUK	ERLIN2
CYP4F2	CRYGD	KCNJ11
DPEP1	CYP1B1	OS9
E2F1	DDR2	PEX19
EDN1	DHFR	PEX3
EFTUD2	DHFRP1	PSMA1
EHMT2	ECT2	PSMA2
EPHX1	EDN1	PSMA3
FBP1	EGFR	PSMA4
FGF21	ERCC6L2	PSMA5
FMO1	ERN1	PSMA6
FMO2	EZH2	PSMA7
FMO4	FABP1	PSMA8
FMO5	FANCC	PSMB1
GAS6	FBLN5	PSMB10
GLYAT	FER	PSMB11
GPLD1	FOS	PSMB2
GRIN1	FOXP1	PSMB3
GSTA1	FXN	PSMB4
GSTA2	GCH1	PSMB5
GSTA3	GLRX2	PSMB6
GSTA4	GPR37	PSMB7
GSTA5	GPR37L1	PSMB8
GSTM1	HDAC2	PSMB9
GSTM2	HGF	PSMC1
GSTM3	HSF1	PSMC2
GSTM4	IL18BP	PSMC3
GSTO1	IL18RAP	PSMC4
GSTO2	IL6	PSMC5
GSTP1	JUN	PSMC6
GUK1	KDM6B	PSMD1
HNF4A	KLF2	PSMD10
HSF1	LRRK2	PSMD11
HTR1B	MAP1LC3A	PSMD12
IL1B	MAP2K4	PSMD13
ITGB3	MAP3K5	PSMD14
KCNC1	MAPK1	PSMD2
KCNE2	MAPK13	PSMD3
KCNH2	MAPK3	PSMD4
KCNQ1	MAPK7	PSMD5
KCNQ3	MAPK8	PSMD6
LPO	MAPK9	PSMD7
MCM7	MAPT	PSMD8
MEF2C	MDM2	PSMD9
MYC	MET	PSME1
N6AMT1	MIR103A1	PSME2
NAT1	MIR107	PSME3
NAT2	MIR133A1	PSME4
NCEH1	MIR17	PSMF1
NFE2L2	MIR34A	RNF185
NKX3-1	MIR92A1	RNF5
NOS1	MIRLET7B	RPS27A
NOS2	MMP2	SEL1L
NQO1	MMP9	SEM1
NR1I2	MPO	UBA52
NUDT15	MPV17	UBB
PAX6	MPV17L2	UBC
PCNA	MYB	VCP
PDE4A	NCF1	ABCG2
PDE4B	NET1	ATRAID
POR	NFE2L2	SLC16A6
PPM1E	NME8	SLC18A1
